%% <shifterVerb> <type>[<scope>] <pos>
ausrotten g [objd,obja,objc,obji,s,objp-*] verb
losmachen g [objd,obja,objc,obji,s,objp-*] verb
abtrennen g [objd,obja,objc,obji,s,objp-*] verb
schwinden g [objd,obja,objc,obji,s,objp-*] verb
abklingen g [objd,obja,objc,obji,s,objp-*] verb
aussterben g [objd,obja,objc,obji,s,objp-*] verb
vergehen g [objd,obja,objc,obji,s,objp-*] verb
eingehen g [objd,obja,objc,obji,s,objp-*] verb
erlöschen g [objd,obja,objc,obji,s,objp-*] verb
deaktivieren n [objd,obja,objc,obji,s,objp-*] verb
befreien n [objd,obja,objc,obji,s,objp"von"] verb
ablegen n [objd,obja,objc,obji,s,objp-*] verb
entbinden n [objd,obja,objc,obji,s,objp"von"] verb
entlassen n [objd,obja,objc,obji,s,objp"von"] verb
tilgen n [objd,obja,objc,obji,s,objp"von"] verb
verschmähen p [objd,obja,objc,obji,s,objp-*] verb
entlasten g [objd,obja,objc,obji,s,objp"von"] verb
zerlegen g [objd,obja,objc,obji,s,objp"von"] verb
sich_loslösen g [objd,obja,objc,obji,s,objp-*] verb
wegschicken g [objd,obja,objc,obji,s,objp-*] verb
entheben g [objd,obja,objc,obji,s,objp-*] verb
verdrängen g [objd,obja,objc,obji,s,objp-*] verb
abraten n [objd,obja,objc,obji,s,objp"von"] verb
entledigen p [objd,obja,objc,obji,s,objp"von"] verb
ausscheiden p [objd,obja,objc,obji,s,objp"von"] verb
ausmachen g [objd,obja,objc,obji,s,objp-*] verb
niederlegen g [objd,obja,objc,obji,s,objp-*] verb
verjagen n [objd,obja,objc,obji,s,objp-*] verb
zurückdrängen n [objd,obja,objc,obji,s,objp-*] verb
sich_verringern p [objd,obja,objc,obji,s,objp-*] verb
fallen g [objd,obja,objc,obji,s,objp-*] verb
ausstoßen n [objd,obja,objc,obji,s,objp-*] verb
lassen n [objd,obja,objc,obji,s,objp-*] verb
erlösen n [objd,obja,objc,obji,s,objp-*] verb
zersetzen g [objd,obja,objc,obji,s,objp-*] verb
zerfressen g [objd,obja,objc,obji,s,objp-*] verb
auffressen g [objd,obja,objc,obji,s,objp-*] verb
aufbrauchen g [objd,obja,objc,obji,s,objp-*] verb
fressen g [objd,obja,objc,obji,s,objp-*] verb
versiegen g [objd,obja,objc,obji,s,objp-*] verb
übergehen g [objd,obja,objc,obji,s,objp-*] verb
eliminieren g [objd,obja,objc,obji,s,objp-*] verb
ausmerzen g [objd,obja,objc,obji,s,objp-*] verb
weglassen g [objd,obja,objc,obji,s,objp-*] verb
gefährden p [objd,obja,objc,obji,s,objp-*] verb
beendigen g [objd,obja,objc,obji,s,objp-*] verb
entfliehen n [objd,obja,objc,obji,s,objp"von"] verb
entrinnen n [objd,obja,objc,obji,s,objp"von"] verb
meiden n [objd,obja,objc,obji,s,objp-*] verb
austreiben n [objd,obja,objc,obji,s,objp-*] verb
bannen n [objd,obja,objc,obji,s,objp-*] verb
ausweisen n [objd,obja,objc,obji,s,objp-*] verb
ablaufen g [objd,obja,objc,obji,s,objp-*] verb
auslaufen g [objd,obja,objc,obji,s,objp-*] verb
vertilgen g [objd,obja,objc,obji,s,objp-*] verb
zerrinnen g [objd,obja,objc,obji,s,objp-*] verb
verklingen g [objd,obja,objc,obji,s,objp-*] verb
fehlen g [objd,obja,objc,obji,s,objp-*] verb
ausbleiben g [objd,obja,objc,obji,s,objp-*] verb
misslingen g [objd,obja,objc,obji,s,objp-*] verb
verfehlen g [objd,obja,objc,obji,s,objp-*] verb
versäumen g [objd,obja,objc,obji,s,objp-*] verb
auseinandergehen g [objd,obja,objc,obji,s,objp-*] verb
fehlschlagen g [objd,obja,objc,obji,s,objp-*] verb
untergehen g [objd,obja,objc,obji,s,objp-*] verb
zurückhalten n [objd,obja,objc,obji,s,objp-*] verb
bezwingen g [objd,obja,objc,obji,s,objp-*] verb
verpuffen g [objd,obja,objc,obji,s,objp-*] verb
sich_hinwegsetzen g [objd,obja,objc,obji,s,objp-*] verb
verfliegen g [objd,obja,objc,obji,s,objp-*] verb
sich_verkneifen n [objd,obja,objc,obji,s,objp-*] verb
untersagen g [objd,obja,objc,obji,s,objp-*] verb
kündigen g [objd,obja,objc,obji,s,objp-*] verb
vorbeugen g [objd,obja,objc,obji,s,objp-*] verb
verspielen p [objd,obja,objc,obji,s,objp-*] verb
verwirken p [objd,obja,objc,obji,s,objp-*] verb
verlieren p [objd,obja,objc,obji,s,objp-*] verb
verneinen n [objd,obja,objc,obji,s,objp-*] verb
versauen p [objd,obja,objc,obji,s,objp-*] verb
flüchten n [objd,obja,objc,obji,s,objp"von"] verb
sich_losmachen n [objd,obja,objc,obji,s,objp-*] verb
sich_drücken g [objd,obja,objc,obji,s,objp-*] verb
abgewöhnen g [objd,obja,objc,obji,s,objp-*] verb
entkommen g [objd,obja,objc,obji,s,objp-*] verb
ausgehen g [objd,obja,objc,obji,s,objp-*] verb
heilen n [objd,obja,objc,obji,s,objp-*] verb
abhelfen n [objd,obja,objc,obji,s,objp-*] verb
inaktivieren g [objd,obja,objc,obji,s,objp-*] verb
übertreten p [objd,obja,objc,obji,s,objp-*] verb
zerquetschen g [objd,obja,objc,obji,s,objp-*] verb
zerdrücken g [objd,obja,objc,obji,s,objp-*] verb
sich_entledigen n [objd,obja,objc,obji,s,objp-*] verb
überspringen g [objd,obja,objc,obji,s,objp-*] verb
sich_fernhalten n [objd,obja,objc,obji,s,objp"von"] verb
stornieren g [objd,obja,objc,obji,s,objp-*] verb
abwürgen g [objd,obja,objc,obji,s,objp-*] verb
auseinandernehmen g [objd,obja,objc,obji,s,objp-*] verb
verpassen g [objd,obja,objc,obji,s,objp-*] verb
liquidieren n [objd,obja,objc,obji,s,objp-*] verb
loslassen n [objd,obja,objc,obji,s,objp-*] verb
einbüßen p [objd,obja,objc,obji,s,objp-*] verb
demolieren g [objd,obja,objc,obji,s,objp-*] verb
schlichten g [objd,obja,objc,obji,s,objp-*] verb
abtöten g [objd,obja,objc,obji,s,objp-*] verb
verrotten g [objd,obja,objc,obji,s,objp-*] verb
zurückstellen n [objd,obja,objc,obji,s,objp"von"] verb
vorgehen n [objd,obja,objc,obji,s,objp-*] verb
entwachsen g [objd,obja,objc,obji,s,objp-*] verb
umstoßen n [objd,obja,objc,obji,s,objp-*] verb
stürzen n [objd,obja,objc,obji,s,objp-*] verb
sich_trennen g [objd,obja,objc,obji,s,objp-*] verb
verrauchen g [objd,obja,objc,obji,s,objp-*] verb
vorübergehen g [objd,obja,objc,obji,s,objp-*] verb
stören p [objd,obja,objc,obji,s,objp-*] verb
sich_verlieren g [objd,obja,objc,obji,s,objp-*] verb
erschöpfen g [objd,obja,objc,obji,s,objp-*] verb
vertagen g [objd,obja,objc,obji,s,objp-*] verb
schützen n [objd,obja,objc,obji,s,objp"von"] verb
abreißen g [objd,obja,objc,obji,s,objp-*] verb
sich_entfernen g [objd,obja,objc,obji,s,objp-*] verb
zermalmen g [objd,obja,objc,obji,s,objp-*] verb
niederschlagen g [objd,obja,objc,obji,s,objp-*] verb
nauslöschen g [objd,obja,objc,obji,s,objp-*] verb
verwesen p [objd,obja,objc,obji,s,objp-*] verb
aulöschen n [objd,obja,objc,obji,s,objp-*] verb
absehen n [objd,obja,objc,obji,s,objp"von"] verb
ausschlagen g [objd,obja,objc,obji,s,objp-*] verb
ausräumen g [objd,obja,objc,obji,s,objp-*] verb
sich_widersetzen n [objd,obja,objc,obji,s,objp-*] verb
sich_legen n [objd,obja,objc,obji,s,objp-*] verb
zurücknehmen p [objd,obja,objc,obji,s,objp-*] verb
entziehen p [objd,obja,objc,obji,s,objp-*] verb
vermodern g [objd,obja,objc,obji,s,objp-*] verb
ausradieren g [objd,obja,objc,obji,s,objp-*] verb
wegwischen g [objd,obja,objc,obji,s,objp-*] verb
abhauen n [objd,obja,objc,obji,s,objp-*] verb
wegjagen n [objd,obja,objc,obji,s,objp-*] verb
sabotieren p [objd,obja,objc,obji,s,objp-*] verb
abblasen g [objd,obja,objc,obji,s,objp-*] verb
sich_lösen g [objd,obja,objc,obji,s,objp-*] verb
abschütteln n [objd,obja,objc,obji,s,objp-*] verb
abstoßen n [objd,obja,objc,obji,s,objp-*] verb
wegscheuchen n [objd,obja,objc,obji,s,objp-*] verb
abschmettern n [objd,obja,objc,obji,s,objp-*] verb
schrumpfen n [objd,obja,objc,obji,s,objp"von"] verb
sich_befreien p [objd,obja,objc,obji,s,objp-*] verb
entwischen p [objd,obja,objc,obji,s,objp-*] verb
abwerfen g [objd,obja,objc,obji,s,objp-*] verb
zertrümmern g [objd,obja,objc,obji,s,objp-*] verb
ausbügeln n [objd,obja,objc,obji,s,objp-*] verb
sich_abschwächen g [objd,obja,objc,obji,s,objp-*] verb
ersparen n [objd,obja,objc,obji,s,objp"von"] verb
entbehren n [objd,obja,objc,obji,s,objp"von"] verb
zersplittern g [objd,obja,objc,obji,s,objp-*] verb
sich_abspalten g [objd,obja,objc,obji,s,objp-*] verb
stagnieren p [objd,obja,objc,obji,s,objp-*] verb
stillstehen p [objd,obja,objc,obji,s,objp-*] verb
abwimmeln n [objd,obja,objc,obji,s,objp-*] verb
ankämpfen g [objd,obja,objc,obji,s,objp-*] verb
nehmen n [objd,obja,objc,obji,s,objp-*] verb
ersetzen g [objd,obja,objc,obji,s,objp-*] verb
untergraben g [objd,obja,objc,obji,s,objp-*] verb
hinwegfegen g [objd,obja,objc,obji,s,objp-*] verb
tabuisieren n [objd,obja,objc,obji,s,objp-*] verb
sich_losreißen g [objd,obja,objc,obji,s,objp-*] verb
einreißen g [objd,obja,objc,obji,s,objp-*] verb
rauswerfen n [objd,obja,objc,obji,s,objp-*] verb
zertrampeln g [objd,obja,objc,obji,s,objp-*] verb
sich_abwenden g [objd,obja,objc,obji,s,objp-*] verb
sich_abgewöhnen g [objd,obja,objc,obji,s,objp-*] verb
verdampfen g [objd,obja,objc,obji,s,objp-*] verb
sich_verflüchtigen g [objd,obja,objc,obji,s,objp-*] verb
abwählen n [objd,obja,objc,obji,s,objp-*] verb
erlassen g [objd,obja,objc,obji,s,objp-*] verb
weggehen n [objd,obja,objc,obji,s,objp"von"] verb
ermangeln p [objd,obja,objc,obji,s,objp-*] verb
wegspülen g [objd,obja,objc,obji,s,objp-*] verb
aussortieren n [objd,obja,objc,obji,s,objp-*] verb
aussondern n [objd,obja,objc,obji,s,objp-*] verb
abziehen g [objd,obja,objc,obji,s,objp"von"] verb
verschlimmern p [objd,obja,objc,obji,s,objp-*] verb
verschlechtern p [objd,obja,objc,obji,s,objp-*] verb
sich_verschlimmern p [subj] verb
abschreiben g [objd,obja,objc,obji,s,objp-*] verb
korrigierbar g [subj] adj
bewältigen g [objd,obja,objc,obji,s,objp-*] verb
%% Einträge aus germanlex und manuelle Einträge
nie g [clause] adv
nix g [objp] nomen
keinsterweise g [clause] adv
keinerweise g [clause] adv
niemals g [clause] adv
nichts g [clause] nomen
trotzen g [objd,obja,objc,obji,s,objp-*] verb
ohne g [pp] appr
ohne g [pp] kon
nicht g [nicht] adv
kein g [subj, attr-rev] adj
einzigartig g [subj, attr-rev] adj
korrigierbar n [subj, attr-rev] adj
weniger g [subj, attr-rev] adj
gescheitert p [subj, attr-rev] adj
weniger g [clause] adv
kaum g [clause] adv
keinesfalls g [clause] adv
ebensowenig g [clause] adv
Versäumnis p [gmod, objp-*] nomen
Tod p [gmod, objp-*] nomen
Ende g [gmod, objp-*] nomen
Abwahl n [gmod, objp-*] nomen
Verbesserung g [gmod, objp-*] nomen
Zerstörung g [gmod, objp-*] nomen
Kampf g [gmod, objp-*] nomen
Lösung n [gmod, objp-*] nomen
Entfernung g [gmod, objp-*] nomen
Verhinderung g [gmod, objp-*] nomen
Verbannung n [gmod, objp-*] nomen
Unrecht p [gmod, objp-*] nomen
